post_id,title,category,score,num_comments,author,collected_at
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-03 22:04:54
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,92,16,AustinDev,2026-04-03 22:05:19
47564579,The rise and fall of IBM's 4 Pi aerospace computers: an illustrated history,science,100,25,zdw,2026-04-03 22:05:46
47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",science,32,2,pseudolus,2026-04-03 22:06:16
47612775,The SpaceX IPO: retail investor notes,science,94,93,u1hcw9nx,2026-04-03 22:06:34
47570650,Stanford study reveals AI vision models invent images they never see,science,45,0,LionTurtle13,2026-04-03 22:06:54
47617027,A forecast of the fair market value of SpaceX's businesses,science,98,196,ddp26,2026-04-03 22:07:09
47625952,Show HN: I built a frontpage for personal blogs,entertainment,313,112,ramkarthikk,2026-04-03 22:08:00
47621438,Show HN: Made a little Artemis II tracker,entertainment,131,52,codingmoh,2026-04-03 22:08:41
47560959,Show HN: Home Maker: Declare Your Dev Tools in a Makefile,entertainment,85,54,sthottingal,2026-04-03 22:08:50
47625385,"H.264 Streaming Fees: What Changed, Who's Affected, and What It Means",entertainment,63,38,phantomathkg,2026-04-03 22:09:00
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,35,49,luca-ctx,2026-04-03 22:09:34
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,34,21,Realman78,2026-04-03 22:09:35
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,145,111,kasparnoor,2026-04-03 22:09:40
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,879,418,novaRom,2026-04-03 22:09:41
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,103,63,rdme,2026-04-03 22:09:52
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,18,3,symisc_devel,2026-04-03 22:09:57
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,64,4,nemoniac,2026-04-03 22:10:00
47571183,Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),entertainment,202,83,wazHFsRy,2026-04-03 22:10:12
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,334,44,hauntsaninja,2026-04-03 22:10:22
47621937,Show HN: A Minimal Basic Inspired by Brainfuck,entertainment,8,0,ADavison2560,2026-04-03 22:10:30
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,200,57,tjgreen,2026-04-03 22:10:48
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",entertainment,138,92,afshinmeh,2026-04-03 22:10:57
47625098,"Show HN: LLMnesia – search across ChatGPT, Claude, Gemini chats locally",entertainment,6,2,keiranflynn,2026-04-03 22:10:58
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",entertainment,418,152,PrismML,2026-04-03 22:11:19
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,entertainment,84,45,coolwulf,2026-04-03 22:11:50
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,68,25,jeditobe,2026-04-03 22:12:07
47566143,My MacBook keyboard is broken and it's insanely expensive to fix,entertainment,381,535,TobiasBerg,2026-04-03 22:12:19
